P38	currency used by item
P53	family, including dynasty and nobility houses. Not family name (use P734 for family name).
P65	the place where an astronomical object was discovered (observatory, satellite)
P183	sole location or habitat type where the taxon lives
P193	the main organization responsible for construction of this structure or building
P397	major astronomical body the item belongs to
P520	equippable weapon item for the subject
P546	intended docking port for a spacecraft
P834	depot which serves this railway line, not public stations
P1079	organization contracted to launch the rocket
P1716	commercial brand associated with the item
P1840	person or organization involved in investigation of the item
P1951	individual or organization which invests money in the item for the purpose of obtaining financial return on their investment
P3093	person, organisation or vehicle that recovered the item. Use the most specific value known.
P3815	institution that monitors this volcanic landform or phenomenon
P4661	reservoir created upstream of a dam by this dam
P4792	construction impounding this watercourse or creating this reservoir
P7047	opponent character or group of this fictive character or group
P6	head of the executive power of this town, city, municipality, state, country, or other governmental body
P17	sovereign state of this item (not to be used for human beings)
P19	most specific known (e.g. city instead of country, or hospital instead of city) birth location of a person, animal or fictional character
P20	most specific known (e.g. city instead of country, or hospital instead of city) death location of a person, animal or fictional character
P26	"the subject has the object as their spouse (husband, wife, partner, etc.). Use ""unmarried partner"" (P451) for non-married companions"
P27	the object is a country that recognizes the subject as its citizen
P30	continent of which the subject is a part
P35	official with the highest formal authority in a country/state
P36	primary city of a country, province, state or other type of administrative territorial entity
P40	subject has object as child. Do not use for stepchildren
P47	countries or administrative subdivisions, of equal level, that this item borders, either by land or water. A single common point is enough.
P50	main creator(s) of a written work (use on works, not humans); use P2093 when Wikidata item is unknown or does not exist
P54	sports teams or clubs that the subject currently represents or formerly represented
P57	director(s) of film, TV-series, stageplay, video game or similar
P58	person(s) who wrote the script for subject item
P61	subject  who discovered, first described, invented, or developed this discovery or invention
P66	place of origin for ancestors of subject
P69	educational institution attended by subject
P81	railway line(s) subject is directly connected to
P84	person or architectural firm responsible for designing this building
P85	subject's official anthem
P86	"person(s) who wrote the music [for lyricist, use ""lyrics by"" (P676)]"
P88	person or organization that commissioned this work
P98	editor of a compiled work such as a book or a periodical (newspaper or an academic journal)
P101	specialization of a person or organization; see P106 for the occupation
P102	the political party of which this politician is or has been a member or otherwise affiliated
P108	person or organization for which the subject works or worked
P112	founder or co-founder of this organization, religion or place
P113	airport that serves as a hub for an airline
P115	home stadium or venue of a sports team or applicable performing arts organization
P118	league in which team or player plays or has played in
P119	location of grave, resting place, place of ash-scattering, etc. (e.g., town/city or cemetery) for a person or animal. There may be several places: e.g., re-burials, parts of body buried separately.
P123	organization or person responsible for publishing books, periodicals, printed music, podcasts, games or software
P126	person or organization in charge of keeping the subject (for instance an infrastructure) in functioning order
P127	owner of the subject
P131	the item is located on the territory of the following administrative entity. Use P276 (location) for specifying locations that are non-administrative places and for items about events
P135	literary, artistic, scientific or philosophical movement or scene associated with this person or work
P137	person, profession, or organization that operates the equipment, facility, or service
P138	"entity or event that inspired the subject's name, or namesake (in at least one language). Qualifier ""applies to name"" (P5168) can be used to indicate which one"
P144	the work(s) used as the basis for subject item
P155	"immediately prior item in a series of which the subject is a part [if the subject has replaced the preceding item, e.g. political offices, use ""replaces"" (P1365)]"
P159	city, where an organization's headquarters is or has been situated. Use P276 qualifier for specific building
P161	"actor in the subject production [use ""character role"" (P453) and/or ""name of the character role"" (P4633) as qualifiers] [use ""voice actor"" (P725) for voice-only role]"
P162	person(s) who produced the film, musical work, theatrical production, etc. (for film, this does not include executive producers, associate producers, etc.) [for production company, use P272, video games - use P178]
P166	award or recognition received by a person, organisation or creative work
P169	highest-ranking corporate officer appointed as the CEO within an organization
P170	"maker of this creative work or other object (where no more specific property exists). Paintings with unknown painters, use ""anonymous"" (Q4233718) as value."
P172	subject's ethnicity (consensus is that a VERY high standard of proof is needed for this field to be used. In general this means 1) the subject claims it themself, or 2) it is widely agreed on by scholars, or 3) is fictional and portrayed as such)
P175	actor, musician, band or other performer associated with this role or musical work
P176	manufacturer or producer of this product
P177	obstacle (body of water, road, railway...) which this bridge crosses over or this tunnel goes under
P178	organisation or person that developed the item
P179	series which contains the subject
P180	depicted entity (see also P921: main subject)
P184	person who supervised the doctorate or PhD thesis of the subject
P189	where the item was located when discovered
P190	twin towns, sister cities, twinned municipalities and other localities that have a partnership or cooperative agreement, either legally or informally acknowledged by their governments
P194	legislative body governing this entity; political institution with elected representatives, such as a parliament/legislature or council
P195	art, museum, archival, or bibliographic collection the subject is part of
P197	the stations next to this station, sharing the same line(s)
P199	organizational divisions of this organization (which are not independent legal entities)
P200	major inflow sources — rivers, aquifers, glacial runoff, etc. Some terms may not be place names, e.g. none
P201	rivers and other outflows waterway names. If evaporation or seepage are notable outflows, they may be included. Some terms may not be place names, e.g. evaporation
P205	country that have drainage to/from or border the body of water
P206	sea, lake or river
P237	subject's coat of arms
P241	branch to which this military unit, award, office, or person belongs, e.g. Royal Navy
